file,name,category,price,description,width,height,kb
sushi-rolls/spicy-salmon-roll-8-pcs.jpg,Spicy Salmon Roll (8 pcs),Sushi Rolls,14,Salmon with a spicy kick rolled in nori and sushi rice.,600,800,73
sushi-rolls/salmon-roll-8-pcs.jpg,Salmon Roll (8 pcs),Sushi Rolls,12,,600,800,70
sushi-rolls/spicy-tuna-roll-8-pcs.jpg,Spicy Tuna Roll (8 pcs),Sushi Rolls,12,,600,800,134
sushi-rolls/california-roll-8-pcs.jpg,California Roll (8 pcs),Sushi Rolls,10,,600,800,45
sushi-rolls/tuna-roll-8-pcs.jpg,Tuna Roll (8 pcs),Sushi Rolls,10,Tuna maki roll with sushi rice and nori.,600,800,82
sushi-rolls/yam-avocado-roll-8-pcs.jpg,Yam Avocado Roll (8 pcs),Sushi Rolls,15,,600,800,80
sushi-rolls/rainbow-roll-8-pcs.jpg,Rainbow Roll (8 pcs),Sushi Rolls,18,Rainbow-style roll with a colourful assortment of toppings.,600,800,49
sushi-rolls/avocado-roll-8-pcs.jpg,Avocado Roll (8 pcs),Sushi Rolls,10,Sushi rice and nori rolled with avocado.,600,800,66
sushi-rolls/cucumber-roll-8-pcs.jpg,Cucumber Roll (8 pcs),Sushi Rolls,10,Cucumber maki: cucumber and sushi rice rolled in nori.,600,800,55
sashimi/deluxe-sashimi-8-pcs.jpg,Deluxe Sashimi (8 pcs),Sashimi,36,1 of each type.,600,800,77
sashimi/ebi-sashimi-2-pcs.jpg,Ebi Sashimi (2 pcs),Sashimi,8,"Raw shrimp sashimi, served chilled.",600,800,76
sashimi/salmon-sashimi-2-pcs.jpg,Salmon Sashimi (2 pcs),Sashimi,8,,600,800,75
sashimi/smoked-salmon-sashimi-2-pcs.jpg,Smoked Salmon Sashimi (2 pcs),Sashimi,8,"Tender texture with a rich, smoky flavour.",600,800,89
sashimi/unagi-sashimi-2-pcs.jpg,Unagi Sashimi (2 pcs),Sashimi,9,"Eel sashimi, thinly sliced.",600,800,81
sashimi/tuna-sashimi-2-pcs.jpg,Tuna Sashimi (2 pcs),Sashimi,8,Thinly sliced raw tuna sashimi.,600,800,74
sushi-nigiri/gungkan-crab-sushi-1-pc.jpg,Gungkan Crab Sushi (1 pc),Sushi (Nigiri),4,"Seaweed-wrapped sushi rice topped with crab, gunkan style.",600,800,26
sushi-nigiri/gungkan-tobiko-sushi-1-pc.jpg,Gungkan Tobiko Sushi (1 pc),Sushi (Nigiri),4,,600,800,23
sushi-nigiri/shrimp-sushi-1-pc.jpg,Shrimp Sushi (1 pc),Sushi (Nigiri),3,,600,800,54
sushi-nigiri/smoked-salmon-sushi-1-pc.jpg,Smoked Salmon Sushi (1 pc),Sushi (Nigiri),4,,600,800,76
sushi-nigiri/unagi-sushi-1-pc.jpg,Unagi Sushi (1 pc),Sushi (Nigiri),4,Cooked freshwater eel over seasoned sushi rice.,600,800,80
sushi-nigiri/salmon-sushi-1-pc.jpg,Salmon Sushi (1 pc),Sushi (Nigiri),4,,600,800,47
sushi-nigiri/tuna-sushi-1-pc.jpg,Tuna Sushi (1 pc),Sushi (Nigiri),3,,600,800,69
sushi-nigiri/deluxe-sushi-9-pcs.jpg,Deluxe Sushi (9 pcs),Sushi (Nigiri),35,1 of each type.,600,800,99
special-rolls/flying-eel-dragon-roll-8-pcs.jpg,Flying Eel Dragon Roll (8 pcs),Special Rolls,25,"Eel, shrimp, avocado, cucumber, unagi, mayo, tobiko.",600,800,86
special-rolls/lobster-roll-8-pcs.jpg,Lobster Roll (8 pcs),Special Rolls,26,"Lobster, cucumber, avocado, unagi, mayo.",600,800,139
special-rolls/red-smoked-dragon-roll-8-pcs.jpg,Red Smoked Dragon Roll (8 pcs),Special Rolls,25,"Smoked salmon, avocado, cucumber, unagi, mayo, tobiko, sriracha, crispy onion.",600,800,96
special-rolls/crispy-beef-roll-8-pcs.jpg,Crispy Beef Roll (8 pcs),Special Rolls,22,"Beef, unagi, spicy mayo, crispy onion.",600,800,63
special-rolls/crispy-california-roll-8-pcs.jpg,Crispy California Roll (8 pcs),Special Rolls,15,"Crab meat, avocado, tempura, spicy mayo, cucumber.",600,800,83
