name,category,price
Dynamite Roll (8 pcs),Sushi Rolls,16
Gungkan Crab Sashimi (2 pcs),Sashimi,12
Tamago Sashimi (2 pcs),Sashimi,10
Toro Sashimi (2 pcs),Sashimi,10
Toro Sushi (1 pc),Sushi (Nigiri),4
Tamago Sushi (1 pc),Sushi (Nigiri),3
Philadelphia Roll (8 pcs),Special Rolls,21
Izakaya Pork Sisig,Mains,25
Karaage Don,Mains,18
Pork Tonkatsu,Mains,23
Unagi Don,Mains,25
Miso Ramen,Ramen,23
Spicy Miso Ramen,Ramen,24
Spicy Shoyu Ramen,Ramen,24
Vegetable Spring Rolls (4 pcs),Appetizers,10
Seaweed Salad,Appetizers,10
BBQ Squid,Appetizers,14
Beef Tataki,Appetizers,22
Fried Party Plate,Appetizers,40
Garlic Butter Mussels (6 pcs),Appetizers,16
Miso Soup,Appetizers,3
Pork Spring Rolls (4 pcs),Appetizers,10
Beef Yakisoba,Stir-Fry,24
Chicken Udon,Stir-Fry,21
Shrimp Yakisoba,Stir-Fry,24
Vegetable Udon,Stir-Fry,15
Platter A (40 pcs),Party Tray,69
Platter B (44 pcs),Party Tray,89
Coke,Drinks,3
Cranberry Juice,Drinks,3
Ginger Ale,Drinks,3
Hot Tea,Drinks,3
Iced Tea,Drinks,3
Matcha Bubble Tea,Drinks,7
Orange Juice,Drinks,3
Sprite,Drinks,3
Thai Bubble Tea,Drinks,7
